Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,A_xG,A_xGA,A_xGD,A_xGD/90,HomeWinRate,AwayWinRate,HomeGoalsPerMatch,AwayGoalsPerMatch,HomeGoalsConcededPerMatch,AwayGoalsConcededPerMatch,HomePointsPerMatch,AwayPointsPerMatch,TotalMP,TotalW,TotalD,TotalL,TotalGF,TotalGA,TotalGD,TotalPts,OverallWinRate,OverallGoalsPerMatch,OverallGoalsConcededPerMatch,OverallPointsPerMatch,HomeAwayWinRateDiff,HomeAwayGoalsScoredDiff,HomeAwayGoalsConcededDiff,HomeAwayPointsDiff,Poss,PrgC,PrgP,Sh,SoT,SoT%,Succ,Touches,Att 3rd,Att Pen,Live
2021-2022,17,Leeds United,19,4,6,9,19,38,-19,18,0.95,25.2,31.6,-6.4,-0.34,19,5,5,9,23,41,-18,20,1.05,19.1,36.2,-17.1,-0.9,0.21052631578947367,0.2631578947368421,1.0,1.2105263157894737,2.0,2.1578947368421053,0.9473684210526315,1.0526315789473684,38,9,11,18,42,79,-37,38,0.23684210526315788,1.105263157894737,2.0789473684210527,1.0,-0.05263157894736842,-0.21052631578947367,-0.1578947368421053,-0.10526315789473684,52.3,671,1483,480,142,29.6,339,22705,4919,789,22700
2021-2022,18,Burnley,19,5,6,8,18,25,-7,21,1.11,22.9,25.7,-2.9,-0.15,19,2,8,9,16,28,-12,14,0.74,16.9,31.4,-14.5,-0.76,0.2631578947368421,0.10526315789473684,0.9473684210526315,0.8421052631578947,1.3157894736842106,1.4736842105263157,1.105263157894737,0.7368421052631579,38,7,14,17,34,53,-19,35,0.18421052631578946,0.8947368421052632,1.394736842105263,0.9210526315789473,0.15789473684210525,0.10526315789473684,-0.1578947368421051,0.3684210526315791,40.2,388,972,405,119,29.4,258,18371,4686,663,18369
2021-2022,19,Watford,19,2,2,15,17,46,-29,8,0.42,19.7,33.9,-14.2,-0.75,19,4,3,12,17,31,-14,15,0.79,20.3,30.6,-10.3,-0.54,0.10526315789473684,0.21052631578947367,0.8947368421052632,0.8947368421052632,2.4210526315789473,1.631578947368421,0.42105263157894735,0.7894736842105263,38,6,5,27,34,77,-43,23,0.15789473684210525,0.8947368421052632,2.026315789473684,0.6052631578947368,-0.10526315789473684,0.0,0.7894736842105263,-0.368421052631579,40.7,557,1070,397,123,31.0,395,19161,4328,625,19159
2021-2022,20,Norwich City,19,3,3,13,12,43,-31,12,0.63,17.2,35.1,-17.8,-0.94,19,2,4,13,11,41,-30,10,0.53,15.1,40.4,-25.3,-1.33,0.15789473684210525,0.10526315789473684,0.631578947368421,0.5789473684210527,2.263157894736842,2.1578947368421053,0.631578947368421,0.5263157894736842,38,5,7,26,23,84,-61,22,0.13157894736842105,0.6052631578947368,2.210526315789474,0.5789473684210527,0.05263157894736842,0.05263157894736836,0.10526315789473673,0.10526315789473684,42.9,566,1031,370,104,28.1,298,20234,4167,601,20231
2022-2023,1,Manchester City,19,17,1,1,60,17,43,52,2.74,42.7,12.8,29.9,1.57,19,11,4,4,34,16,18,37,1.95,35.9,19.3,16.6,0.87,0.8947368421052632,0.5789473684210527,3.1578947368421053,1.7894736842105263,0.8947368421052632,0.8421052631578947,2.736842105263158,1.9473684210526316,38,28,5,5,94,33,61,89,0.7368421052631579,2.473684210526316,0.868421052631579,2.3421052631578947,0.3157894736842105,1.368421052631579,0.052631578947368474,0.7894736842105263,64.7,988,2073,590,205,34.7,336,29895,8301,1277,29885
2022-2023,2,Arsenal,19,14,3,2,53,25,28,45,2.37,42.5,19.2,23.3,1.22,19,12,3,4,35,18,17,39,2.05,29.1,22.7,6.4,0.34,0.7368421052631579,0.631578947368421,2.789473684210526,1.8421052631578947,1.3157894736842106,0.9473684210526315,2.3684210526315788,2.0526315789473686,38,26,6,6,88,43,45,84,0.6842105263157895,2.3157894736842106,1.131578947368421,2.210526315789474,0.10526315789473684,0.9473684210526314,0.3684210526315791,0.3157894736842102,59.3,824,2049,589,194,32.9,358,25910,8015,1296,25906
2022-2023,3,Manchester Utd,19,15,3,1,36,10,26,48,2.53,40.9,19.4,21.5,1.13,19,8,3,8,22,33,-11,27,1.42,26.7,31.0,-4.3,-0.22,0.7894736842105263,0.42105263157894735,1.894736842105263,1.1578947368421053,0.5263157894736842,1.736842105263158,2.526315789473684,1.4210526315789473,38,23,6,9,58,43,15,75,0.6052631578947368,1.5263157894736843,1.131578947368421,1.9736842105263157,0.368421052631579,0.7368421052631577,-1.210526315789474,1.1052631578947367,53.7,711,1595,590,206,34.9,317,24847,6569,1036,24844
2022-2023,4,Newcastle Utd,19,11,6,2,36,14,22,39,2.05,43.3,15.6,27.7,1.46,19,8,8,3,32,19,13,32,1.68,28.6,23.9,4.7,0.25,0.5789473684210527,0.42105263157894735,1.894736842105263,1.6842105263157894,0.7368421052631579,1.0,2.0526315789473686,1.6842105263157894,38,19,14,5,68,33,35,71,0.5,1.7894736842105263,0.868421052631579,1.868421052631579,0.1578947368421053,0.21052631578947367,-0.26315789473684215,0.3684210526315792,52.3,695,1618,565,184,32.6,350,22106,6516,1161,22100
2022-2023,5,Liverpool,19,13,5,1,46,17,29,44,2.32,40.6,20.2,20.4,1.07,19,6,5,8,29,30,-1,23,1.21,30.9,30.5,0.4,0.02,0.6842105263157895,0.3157894736842105,2.4210526315789473,1.5263157894736843,0.8947368421052632,1.5789473684210527,2.3157894736842106,1.2105263157894737,38,19,10,9,75,47,28,67,0.5,1.9736842105263157,1.236842105263158,1.763157894736842,0.368421052631579,0.894736842105263,-0.6842105263157895,1.105263157894737,60.8,719,1992,601,203,33.8,323,28398,7149,1252,28394
2022-2023,6,Brighton,19,10,4,5,37,21,16,34,1.79,40.7,22.6,18.1,0.95,19,8,4,7,35,32,3,28,1.47,32.6,27.5,5.0,0.27,0.5263157894736842,0.42105263157894735,1.9473684210526316,1.8421052631578947,1.105263157894737,1.6842105263157894,1.7894736842105263,1.4736842105263157,38,18,8,12,72,53,19,62,0.47368421052631576,1.894736842105263,1.394736842105263,1.631578947368421,0.10526315789473684,0.10526315789473695,-0.5789473684210524,0.3157894736842106,60.2,809,1849,607,219,36.1,345,26728,6873,1102,26722
2022-2023,7,Aston Villa,19,12,2,5,33,21,12,38,2.0,29.3,23.7,5.7,0.3,19,6,5,8,18,25,-7,23,1.21,20.9,28.8,-7.9,-0.41,0.631578947368421,0.3157894736842105,1.736842105263158,0.9473684210526315,1.105263157894737,1.3157894736842106,2.0,1.2105263157894737,38,18,7,13,51,46,5,61,0.47368421052631576,1.3421052631578947,1.2105263157894737,1.605263157894737,0.3157894736842105,0.7894736842105264,-0.21052631578947367,0.7894736842105263,49.3,637,1242,427,145,34.0,293,21500,4705,746,21495
2022-2023,8,Tottenham,19,12,1,6,37,25,12,37,1.95,31.1,20.5,10.6,0.56,19,6,5,8,33,38,-5,23,1.21,25.9,29.1,-3.2,-0.17,0.631578947368421,0.3157894736842105,1.9473684210526316,1.736842105263158,1.3157894736842106,2.0,1.9473684210526316,1.2105263157894737,38,18,6,14,70,63,7,60,0.47368421052631576,1.8421052631578947,1.6578947368421053,1.5789473684210527,0.3157894736842105,0.21052631578947367,-0.6842105263157894,0.736842105263158,50.0,692,1449,512,186,36.3,306,23836,5135,842,23830
2022-2023,9,Brentford,19,10,7,2,35,18,17,37,1.95,32.8,20.9,11.8,0.62,19,5,7,7,23,28,-5,22,1.16,23.5,27.8,-4.4,-0.23,0.5263157894736842,0.2631578947368421,1.8421052631578947,1.2105263157894737,0.9473684210526315,1.4736842105263157,1.9473684210526316,1.1578947368421053,38,15,14,9,58,46,12,59,0.39473684210526316,1.5263157894736843,1.2105263157894737,1.5526315789473684,0.2631578947368421,0.631578947368421,-0.5263157894736842,0.7894736842105263,43.8,392,1131,400,147,36.8,267,19749,4835,827,19741
2022-2023,10,Fulham,19,8,5,6,31,29,2,29,1.53,24.3,29.7,-5.4,-0.29,19,7,2,10,24,24,0,23,1.21,21.9,33.9,-12.0,-0.63,0.42105263157894735,0.3684210526315789,1.631578947368421,1.263157894736842,1.5263157894736843,1.263157894736842,1.5263157894736843,1.2105263157894737,38,15,7,16,55,53,2,52,0.39473684210526316,1.4473684210526316,1.394736842105263,1.368421052631579,0.05263157894736842,0.368421052631579,0.26315789473684226,0.3157894736842106,48.8,663,1326,420,137,32.6,281,22162,5416,758,22153
2022-2023,11,Crystal Palace,19,7,7,5,21,23,-2,28,1.47,20.3,23.2,-2.9,-0.15,19,4,5,10,19,26,-7,17,0.89,18.9,24.8,-5.9,-0.31,0.3684210526315789,0.21052631578947367,1.105263157894737,1.0,1.2105263157894737,1.368421052631579,1.4736842105263157,0.8947368421052632,38,11,12,15,40,49,-9,45,0.2894736842105263,1.0526315789473684,1.2894736842105263,1.1842105263157894,0.15789473684210525,0.10526315789473695,-0.1578947368421053,0.5789473684210525,46.3,556,1243,423,133,31.4,367,21713,4991,766,21710
2022-2023,12,Chelsea,19,6,7,6,20,19,1,25,1.32,27.3,23.7,3.7,0.19,19,5,4,10,18,28,-10,19,1.0,22.1,28.8,-6.7,-0.35,0.3157894736842105,0.2631578947368421,1.0526315789473684,0.9473684210526315,1.0,1.4736842105263157,1.3157894736842106,1.0,38,11,11,16,38,47,-9,44,0.2894736842105263,1.0,1.236842105263158,1.1578947368421053,0.05263157894736842,0.10526315789473684,-0.4736842105263157,0.3157894736842106,58.7,829,1737,481,151,31.4,380,27166,6850,958,27163
2022-2023,13,Wolves,19,9,3,7,19,20,-1,30,1.58,21.1,26.5,-5.4,-0.29,19,2,5,12,12,38,-26,11,0.58,15.7,33.3,-17.6,-0.93,0.47368421052631576,0.10526315789473684,1.0,0.631578947368421,1.0526315789473684,2.0,1.5789473684210527,0.5789473684210527,38,11,8,19,31,58,-27,41,0.2894736842105263,0.8157894736842105,1.5263157894736843,1.0789473684210527,0.3684210526315789,0.368421052631579,-0.9473684210526316,1.0,49.9,610,1343,409,119,29.1,385,22539,4960,686,22536
2022-2023,14,West Ham,19,8,4,7,26,24,2,28,1.47,27.3,24.5,2.8,0.15,19,3,3,13,16,31,-15,12,0.63,21.8,28.5,-6.7,-0.35,0.42105263157894735,0.15789473684210525,1.368421052631579,0.8421052631578947,1.263157894736842,1.631578947368421,1.4736842105263157,0.631578947368421,38,11,7,20,42,55,-13,40,0.2894736842105263,1.105263157894737,1.4473684210526316,1.0526315789473684,0.2631578947368421,0.5263157894736843,-0.368421052631579,0.8421052631578947,42.1,615,1274,466,133,28.5,250,20411,4993,756,20403
2022-2023,15,Bournemouth,19,6,4,9,20,28,-8,22,1.16,22.1,28.4,-6.3,-0.33,19,5,2,12,17,43,-26,17,0.89,16.3,35.3,-19.0,-1.0,0.3157894736842105,0.2631578947368421,1.0526315789473684,0.8947368421052632,1.4736842105263157,2.263157894736842,1.1578947368421053,0.8947368421052632,38,11,6,21,37,71,-34,39,0.2894736842105263,0.9736842105263158,1.868421052631579,1.0263157894736843,0.05263157894736842,0.1578947368421052,-0.7894736842105263,0.26315789473684215,40.4,504,1006,358,126,35.2,329,19950,4256,699,19950
2022-2023,16,Nott'ham Forest,19,8,6,5,27,24,3,30,1.58,23.3,30.5,-7.2,-0.38,19,1,5,13,11,44,-33,8,0.42,16.0,33.7,-17.7,-0.93,0.42105263157894735,0.05263157894736842,1.4210526315789473,0.5789473684210527,1.263157894736842,2.3157894736842106,1.5789473684210527,0.42105263157894735,38,9,11,18,38,68,-30,38,0.23684210526315788,1.0,1.7894736842105263,1.0,0.3684210526315789,0.8421052631578947,-1.0526315789473686,1.1578947368421053,37.6,436,859,362,111,30.7,258,17911,3755,611,17905
2022-2023,17,Everton,19,6,3,10,16,27,-11,21,1.11,23.4,26.7,-3.3,-0.17,19,2,9,8,18,30,-12,15,0.79,21.7,38.8,-17.1,-0.9,0.3157894736842105,0.10526315789473684,0.8421052631578947,0.9473684210526315,1.4210526315789473,1.5789473684210527,1.105263157894737,0.7894736842105263,38,8,12,18,34,57,-23,36,0.21052631578947367,0.8947368421052632,1.5,0.9473684210526315,0.21052631578947367,-0.10526315789473684,-0.1578947368421053,0.3157894736842106,42.8,500,1052,426,143,33.6,310,20233,4830,742,20229
2022-2023,18,Leicester City,19,5,4,10,23,27,-4,19,1.0,21.3,26.3,-5.0,-0.26,19,4,3,12,28,41,-13,15,0.79,29.2,36.9,-7.8,-0.41,0.2631578947368421,0.21052631578947367,1.2105263157894737,1.4736842105263157,1.4210526315789473,2.1578947368421053,1.0,0.7894736842105263,38,9,7,22,51,68,-17,34,0.23684210526315788,1.3421052631578947,1.7894736842105263,0.8947368421052632,0.05263157894736842,-0.26315789473684204,-0.736842105263158,0.21052631578947367,47.7,580,1304,412,142,34.5,294,23124,4641,688,23118
2022-2023,19,Leeds United,19,5,7,7,26,37,-11,22,1.16,25.2,32.7,-7.5,-0.4,19,2,3,14,22,41,-19,9,0.47,22.1,34.4,-12.2,-0.64,0.2631578947368421,0.10526315789473684,1.368421052631579,1.1578947368421053,1.9473684210526316,2.1578947368421053,1.1578947368421053,0.47368421052631576,38,7,10,21,48,78,-30,31,0.18421052631578946,1.263157894736842,2.0526315789473686,0.8157894736842105,0.15789473684210525,0.21052631578947367,-0.21052631578947367,0.6842105263157896,47.0,555,1429,459,141,30.7,269,21642,5587,796,21639
2022-2023,20,Southampton,19,2,5,12,19,37,-18,11,0.58,20.5,29.8,-9.3,-0.49,19,4,2,13,17,36,-19,14,0.74,17.3,31.0,-13.7,-0.72,0.10526315789473684,0.21052631578947367,1.0,0.8947368421052632,1.9473684210526316,1.894736842105263,0.5789473684210527,0.7368421052631579,38,6,7,25,36,73,-37,25,0.15789473684210525,0.9473684210526315,1.9210526315789473,0.6578947368421053,-0.10526315789473684,0.10526315789473684,0.052631578947368585,-0.1578947368421052,44.5,588,1125,413,132,32.0,362,21094,4879,712,21090
2023-2024,1,Manchester City,19,14,5,0,51,16,35,47,2.47,40.7,14.0,26.7,1.41,19,14,2,3,45,18,27,44,2.32,39.8,21.6,18.2,0.96,0.7368421052631579,0.7368421052631579,2.6842105263157894,2.3684210526315788,0.8421052631578947,0.9473684210526315,2.473684210526316,2.3157894736842106,38,28,7,3,96,34,62,91,0.7368421052631579,2.526315789473684,0.8947368421052632,2.3947368421052633,0.0,0.3157894736842106,-0.10526315789473684,0.1578947368421053,65.2,1127,2060,683,264,38.7,377,31414,10260,1466,31404
2023-2024,2,Arsenal,19,15,2,2,48,16,32,47,2.47,43.5,13.5,30.0,1.58,19,13,3,3,43,13,30,42,2.21,32.6,14.5,18.2,0.96,0.7894736842105263,0.6842105263157895,2.526315789473684,2.263157894736842,0.8421052631578947,0.6842105263157895,2.473684210526316,2.210526315789474,38,28,5,5,91,29,62,89,0.7368421052631579,2.3947368421052633,0.7631578947368421,2.3421052631578947,0.10526315789473684,0.26315789473684204,0.1578947368421052,0.26315789473684204,58.2,821,2106,647,209,32.3,283,26493,8560,1480,26483
2023-2024,3,Liverpool,19,15,3,1,49,17,32,48,2.53,54.7,17.6,37.1,1.95,19,9,7,3,37,24,13,34,1.79,33.0,28.1,4.9,0.26,0.7894736842105263,0.47368421052631576,2.5789473684210527,1.9473684210526316,0.8947368421052632,1.263157894736842,2.526315789473684,1.7894736842105263,38,24,10,4,86,41,45,82,0.631578947368421,2.263157894736842,1.0789473684210527,2.1578947368421053,0.31578947368421056,0.631578947368421,-0.36842105263157887,0.7368421052631577,61.3,924,2110,781,263,33.7,331,28764,7869,1422,28755
2023-2024,4,Aston Villa,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49,0.631578947368421,0.42105263157894735,2.526315789473684,1.4736842105263157,1.4736842105263157,1.736842105263158,2.1052631578947367,1.4736842105263157,38,20,8,10,76,61,15,68,0.5263157894736842,2.0,1.605263157894737,1.7894736842105263,0.21052631578947367,1.0526315789473684,-0.26315789473684226,0.631578947368421,53.1,775,1451,511,182,35.6,345,23059,5459,1010,23055
2023-2024,5,Tottenham,19,13,0,6,38,27,11,39,2.05,39.2,29.3,9.9,0.52,19,7,6,6,36,34,2,27,1.42,28.9,34.1,-5.2,-0.27,0.6842105263157895,0.3684210526315789,2.0,1.894736842105263,1.4210526315789473,1.7894736842105263,2.0526315789473686,1.4210526315789473,38,20,6,12,74,61,13,66,0.5263157894736842,1.9473684210526316,1.605263157894737,1.736842105263158,0.31578947368421056,0.10526315789473695,-0.368421052631579,0.6315789473684212,61.6,957,2107,582,207,35.6,359,28529,8010,1316,28527
2023-2024,6,Chelsea,19,11,4,4,44,26,18,37,1.95,44.2,24.9,19.2,1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.8,-0.15,0.5789473684210527,0.3684210526315789,2.3157894736842106,1.736842105263158,1.368421052631579,1.9473684210526316,1.9473684210526316,1.368421052631579,38,18,9,11,77,63,14,63,0.47368421052631576,2.026315789473684,1.6578947368421053,1.6578947368421053,0.21052631578947373,0.5789473684210527,-0.5789473684210527,0.5789473684210527,58.6,873,1615,537,194,36.1,398,27725,6558,1039,27713
2023-2024,7,Newcastle Utd,19,12,4,3,49,22,27,40,2.11,46.4,25.0,21.4,1.12,19,6,2,11,36,40,-4,20,1.05,29.6,36.4,-6.7,-0.36,0.631578947368421,0.3157894736842105,2.5789473684210527,1.894736842105263,1.1578947368421053,2.1052631578947367,2.1052631578947367,1.0526315789473684,38,18,6,14,85,62,23,60,0.47368421052631576,2.236842105263158,1.631578947368421,1.5789473684210527,0.3157894736842105,0.6842105263157896,-0.9473684210526314,1.0526315789473684,52.2,737,1557,542,196,36.2,355,24004,6004,1094,23996
2023-2024,8,Manchester Utd,19,10,3,6,31,28,3,33,1.74,32.3,31.5,0.8,0.04,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.7,0.5263157894736842,0.42105263157894735,1.631578947368421,1.368421052631579,1.4736842105263157,1.5789473684210527,1.736842105263158,1.4210526315789473,38,18,6,14,57,58,-1,60,0.47368421052631576,1.5,1.5263157894736843,1.5789473684210527,0.10526315789473684,0.26315789473684204,-0.10526315789473695,0.3157894736842106,50.6,758,1479,543,182,33.5,311,23998,6146,1025,23991
2023-2024,9,West Ham,19,7,8,4,31,28,3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.8,0.3684210526315789,0.3684210526315789,1.631578947368421,1.5263157894736843,1.4736842105263157,2.4210526315789473,1.5263157894736843,1.2105263157894737,38,14,10,14,60,74,-14,52,0.3684210526315789,1.5789473684210527,1.9473684210526316,1.368421052631579,0.0,0.10526315789473673,-0.9473684210526316,0.3157894736842106,41.1,556,1207,445,146,32.8,353,20875,4692,750,20869
2023-2024,10,Crystal Palace,19,8,4,7,37,26,11,28,1.47,27.3,20.9,6.5,0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52,0.42105263157894735,0.2631578947368421,1.9473684210526316,1.0526315789473684,1.368421052631579,1.6842105263157894,1.4736842105263157,1.105263157894737,38,13,10,15,57,58,-1,49,0.34210526315789475,1.5,1.5263157894736843,1.2894736842105263,0.15789473684210525,0.8947368421052633,-0.3157894736842104,0.36842105263157876,42.3,506,1176,452,162,35.8,341,21367,5077,797,21363
2023-2024,11,Brighton,19,8,6,5,30,27,3,30,1.58,32.1,25.4,6.8,0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28,0.42105263157894735,0.21052631578947367,1.5789473684210527,1.3157894736842106,1.4210526315789473,1.8421052631578947,1.5789473684210527,0.9473684210526315,38,12,12,14,55,62,-7,48,0.3157894736842105,1.4473684210526316,1.631578947368421,1.263157894736842,0.21052631578947367,0.26315789473684204,-0.42105263157894735,0.6315789473684211,59.8,864,1780,555,198,35.7,297,29112,6766,1081,29106
2023-2024,12,Bournemouth,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,3.1,0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28,0.3684210526315789,0.3157894736842105,1.4210526315789473,1.4210526315789473,1.4736842105263157,2.0526315789473686,1.4210526315789473,1.105263157894737,38,13,9,16,54,67,-13,48,0.34210526315789475,1.4210526315789473,1.763157894736842,1.263157894736842,0.05263157894736842,0.0,-0.5789473684210529,0.3157894736842104,44.4,709,1314,539,175,32.5,382,20700,5686,1033,20697
2023-2024,13,Fulham,19,9,2,8,31,24,7,29,1.53,27.9,27.8,0.1,0.0,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64,0.47368421052631576,0.21052631578947367,1.631578947368421,1.263157894736842,1.263157894736842,1.9473684210526316,1.5263157894736843,0.9473684210526315,38,13,8,17,55,61,-6,47,0.34210526315789475,1.4473684210526316,1.605263157894737,1.236842105263158,0.2631578947368421,0.368421052631579,-0.6842105263157896,0.5789473684210528,50.6,670,1467,499,175,35.1,271,24318,5568,849,24316
2023-2024,14,Wolves,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.2,-0.38,19,5,4,10,24,35,-11,19,1.0,23.5,37.2,-13.7,-0.72,0.42105263157894735,0.2631578947368421,1.368421052631579,1.263157894736842,1.5789473684210527,1.8421052631578947,1.4210526315789473,1.0,38,13,7,18,50,65,-15,46,0.34210526315789475,1.3157894736842106,1.7105263157894737,1.2105263157894737,0.15789473684210525,0.10526315789473695,-0.26315789473684204,0.42105263157894735,48.9,671,1180,425,153,36.0,415,23487,4804,739,23483
2023-2024,15,Everton,19,8,4,7,22,18,4,28,1.47,32.1,22.5,9.7,0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.8,-0.57,0.42105263157894735,0.2631578947368421,1.1578947368421053,0.9473684210526315,0.9473684210526315,1.736842105263158,1.4736842105263157,1.0526315789473684,38,13,9,16,40,51,-11,48,0.34210526315789475,1.0526315789473684,1.3421052631578947,1.263157894736842,0.15789473684210525,0.21052631578947378,-0.7894736842105264,0.42105263157894735,40.8,495,1129,504,152,30.2,250,20053,5283,809,20050
2023-2024,16,Brentford,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,1.1,0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,1.2,0.06,0.2631578947368421,0.2631578947368421,1.5263157894736843,1.4210526315789473,1.7894736842105263,1.631578947368421,1.1578947368421053,0.8947368421052632,38,10,9,19,56,65,-9,39,0.2631578947368421,1.4736842105263157,1.7105263157894737,1.0263157894736843,0.0,0.10526315789473695,0.1578947368421053,0.26315789473684215,45.2,505,1283,470,159,33.8,243,21227,5210,982,21224
2023-2024,17,Nott'ham Forest,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,3.2,0.17,19,4,4,11,22,37,-15,16,0.84,24.9,31.5,-6.5,-0.34,0.2631578947368421,0.21052631578947367,1.4210526315789473,1.1578947368421053,1.5789473684210527,1.9473684210526316,1.0526315789473684,0.8421052631578947,38,9,9,20,49,67,-18,36,0.23684210526315788,1.2894736842105263,1.763157894736842,0.9473684210526315,0.05263157894736842,0.26315789473684204,-0.368421052631579,0.21052631578947367,40.6,601,1141,450,143,31.8,275,20126,4686,785,20125
2023-2024,18,Luton Town,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59,0.21052631578947367,0.10526315789473684,1.4736842105263157,1.263157894736842,1.9473684210526316,2.526315789473684,0.8421052631578947,0.5263157894736842,38,6,8,24,52,85,-33,26,0.15789473684210525,1.368421052631579,2.236842105263158,0.6842105263157895,0.10526315789473684,0.21052631578947367,-0.5789473684210524,0.3157894736842105,42.4,675,1113,427,134,31.4,354,19655,4964,780,19650
2023-2024,19,Burnley,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22,0.10526315789473684,0.15789473684210525,1.0,1.1578947368421053,2.263157894736842,1.8421052631578947,0.5263157894736842,0.7368421052631579,38,5,9,24,41,78,-37,24,0.13157894736842105,1.0789473684210527,2.0526315789473686,0.631578947368421,-0.05263157894736842,-0.1578947368421053,0.42105263157894735,-0.21052631578947367,47.4,727,1181,430,137,31.9,300,22181,5155,819,22178
2023-2024,20,Sheffield Utd,19,2,4,13,19,57,-38,10,0.53,24.3,37.8,-13.5,-0.71,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.3,0.10526315789473684,0.05263157894736842,1.0,0.8421052631578947,3.0,2.473684210526316,0.5263157894736842,0.3157894736842105,38,3,7,28,35,104,-69,16,0.07894736842105263,0.9210526315789473,2.736842105263158,0.42105263157894735,0.05263157894736842,0.1578947368421053,0.5263157894736841,0.21052631578947367,35.8,346,884,360,117,32.5,251,17951,3830,646,17946
2024-2025,1,Liverpool,16,13,2,1,34,12,22,41,2.56,33.7,13.7,20.0,1.25,17,11,5,1,41,19,22,38,2.24,38.5,14.8,23.6,1.39,0.8125,0.6470588235294118,2.125,2.411764705882353,0.75,1.1176470588235294,2.5625,2.235294117647059,33,24,7,2,75,31,44,79,0.7272727272727273,2.272727272727273,0.9393939393939394,2.393939393939394,0.1654411764705882,-0.2867647058823528,-0.36764705882352944,0.3272058823529411,57.7,721,1673,557,194,34.8,270,22523,6429,1141,22514
2024-2025,2,Arsenal,16,10,5,1,31,13,18,35,2.19,26.6,10.0,16.6,1.03,17,8,7,2,30,14,16,31,1.82,25.2,17.2,8.1,0.47,0.625,0.47058823529411764,1.9375,1.7647058823529411,0.8125,0.8235294117647058,2.1875,1.8235294117647058,33,18,12,3,61,27,34,66,0.5454545454545454,1.8484848484848484,0.8181818181818182,2.0,0.15441176470588236,0.17279411764705888,-0.011029411764705843,0.36397058823529416,56.8,739,1609,469,153,32.6,280,20819,6818,1134,20817
2024-2025,3,Newcastle Utd,16,10,2,4,35,19,16,32,2.0,27.8,20.6,7.2,0.45,17,8,3,6,27,25,2,27,1.59,27.6,21.7,5.9,0.35,0.625,0.47058823529411764,2.1875,1.588235294117647,1.1875,1.4705882352941178,2.0,1.588235294117647,33,18,5,10,62,44,18,59,0.5454545454545454,1.878787878787879,1.3333333333333333,1.7878787878787878,0.15441176470588236,0.599264705882353,-0.28308823529411775,0.41176470588235303,50.3,641,1316,437,139,31.8,258,19861,5048,896,19857
2024-2025,4,Manchester City,16,10,3,3,37,21,16,33,2.06,33.9,19.3,14.6,0.91,17,7,4,6,27,21,6,25,1.47,26.0,23.8,2.2,0.13,0.625,0.4117647058823529,2.3125,1.588235294117647,1.3125,1.2352941176470589,2.0625,1.4705882352941178,33,17,7,9,64,42,22,58,0.5151515151515151,1.9393939393939394,1.2727272727272727,1.7575757575757576,0.21323529411764708,0.724264705882353,0.07720588235294112,0.5919117647058822,61.4,991,1675,523,187,35.8,338,24458,8417,1155,24455
2024-2025,5,Chelsea,16,9,5,2,30,17,13,32,2.0,32.4,17.2,15.2,0.95,17,7,4,6,28,23,5,25,1.47,28.9,25.6,3.3,0.19,0.5625,0.4117647058823529,1.875,1.6470588235294117,1.0625,1.3529411764705883,2.0,1.4705882352941178,33,16,9,8,58,40,18,57,0.48484848484848486,1.7575757575757576,1.2121212121212122,1.7272727272727273,0.15073529411764708,0.2279411764705883,-0.2904411764705883,0.5294117647058822,58.4,762,1430,537,183,34.1,276,22334,5804,1015,22330
